VulnerabilityScore,Sector,Region,Size,Companies
1,Defense / Military Contractor,Asia,Small,137.1837321
1,Mining & Primary Industries,Asia,Small,6535.689153
1,Pharmaceuticals,Asia,Small,3692.453486
2,Energy,Asia,Small,10188.06205
2,Food & Agriculture,Asia,Small,59826.42183
2,Telecommunications,Asia,Small,1503.171086
2,Utilities,Asia,Small,17078.77537
4,IT - Hardware,Asia,Small,1049.483449
4,Manufacturing,Asia,Small,42613.86185
4,Real Estate / Property / Construction,Asia,Small,17148.50395
3,Tourism & Hospitality,Asia,Small,11248.24479
4,Transportation / Aviation / Aerospace,Asia,Small,65362.38116
3,Business & Professional Services,Asia,Small,22874.56789
5,Education,Asia,Small,15987.75527
4,Entertainment & Media,Asia,Small,3692.4
4,Finance - Insurance,Asia,Small,1530.204809
4,Finance - Investment management,Asia,Small,1995.263977
4,Healthcare,Asia,Small,133075.7126
4,IT - Software,Asia,Small,3956.55082
5,Retail,Asia,Small,32668.70068
5,Finance - Banking,Asia,Small,1245.893823
4,IT - Services,Asia,Small,1733.1605
1,Defense / Military Contractor,Asia,Medium,29.46227802
1,Mining & Primary Industries,Asia,Medium,2030.296411
1,Pharmaceuticals,Asia,Medium,679.5721285
2,Energy,Asia,Medium,3594.265546
2,Food & Agriculture,Asia,Medium,15116.0009
2,Telecommunications,Asia,Medium,327.5825147
2,Utilities,Asia,Medium,3012.499591
4,IT - Hardware,Asia,Medium,379.2687712
4,Manufacturing,Asia,Medium,9179.386033
4,Real Estate / Property / Construction,Asia,Medium,1976.441738
3,Tourism & Hospitality,Asia,Medium,812.0039791
4,Transportation / Aviation / Aerospace,Asia,Medium,13725.24319
3,Business & Professional Services,Asia,Medium,5937.433313
5,Education,Asia,Medium,2867.553263
4,Entertainment & Media,Asia,Medium,606.8
4,Finance - Insurance,Asia,Medium,367.7138994
4,Finance - Investment management,Asia,Medium,455.9526745
4,Healthcare,Asia,Medium,33762.2871
4,IT - Software,Asia,Medium,1008.841643
5,Retail,Asia,Medium,5132.527092
5,Finance - Banking,Asia,Medium,1161.046432
4,IT - Services,Asia,Medium,664.7180269
1,Defense / Military Contractor,Asia,Large,23.01740471
1,Mining & Primary Industries,Asia,Large,581.1095734
1,Pharmaceuticals,Asia,Large,45.19322037
2,Energy,Asia,Large,796.1549961
2,Food & Agriculture,Asia,Large,4755.297294
2,Telecommunications,Asia,Large,53.15489861
2,Utilities,Asia,Large,448.0616481
4,IT - Hardware,Asia,Large,483.1780236
4,Manufacturing,Asia,Large,1840.916052
4,Real Estate / Property / Construction,Asia,Large,239.4705116
3,Tourism & Hospitality,Asia,Large,73.24168341
4,Transportation / Aviation / Aerospace,Asia,Large,3489.732661
3,Business & Professional Services,Asia,Large,1404.598012
5,Education,Asia,Large,385.5952442
4,Entertainment & Media,Asia,Large,81.4
4,Finance - Insurance,Asia,Large,194.062502
4,Finance - Investment management,Asia,Large,88.86680915
4,Healthcare,Asia,Large,5170.83311
4,IT - Software,Asia,Large,1078.199506
5,Retail,Asia,Large,744.1386321
5,Finance - Banking,Asia,Large,328.3989718
4,IT - Services,Asia,Large,138.65284
1,Defense / Military Contractor,Asia,Premier,56.58106011
1,Mining & Primary Industries,Asia,Premier,118.1831698
1,Pharmaceuticals,Asia,Premier,1.224379331
2,Energy,Asia,Premier,13.29490352
2,Food & Agriculture,Asia,Premier,138.2793231
2,Telecommunications,Asia,Premier,0.946281822
2,Utilities,Asia,Premier,19.94235528
4,IT - Hardware,Asia,Premier,6.145464794
4,Manufacturing,Asia,Premier,71.19158721
4,Real Estate / Property / Construction,Asia,Premier,30.93146884
3,Tourism & Hospitality,Asia,Premier,9.693971822
4,Transportation / Aviation / Aerospace,Asia,Premier,135.0406828
3,Business & Professional Services,Asia,Premier,14.23255298
5,Education,Asia,Premier,37.15559641
4,Entertainment & Media,Asia,Premier,0.122437933
4,Finance - Insurance,Asia,Premier,5.524467873
4,Finance - Investment management,Asia,Premier,9.204261148
4,Healthcare,Asia,Premier,86.69639163
4,IT - Software,Asia,Premier,3.729095737
5,Retail,Asia,Premier,33.92890138
5,Finance - Banking,Asia,Premier,9.204261148
4,IT - Services,Asia,Premier,4.823700812
